"Time","Gear","Bat Volts Dash","s_susp_rr","s_susp_fr","tp_2","tp_1","tpd","n_eng","v_ref","v_rear","v_front","n_engbr_ref","idx_igncut_lvl","u_shift_2","u_shift_1","drum_gbx","fx_engbr_olp","fx_engbr_clp","fx_engbr","fx_act","md_act","slip_tgt","slip_engbr","slip","md_tgt_whly","md_tgt_prectrl","md_tgt_lnc","md_tgt_dtc","cf_lambda_b2","cf_lambda_b1","lambda_b2","lambda_b1","md_req","md_lim_tp","md_lim_igncut","md_lim_ign","phi_lean","pitch","pitch_tgt","accx_veh","idx_trqcoord","idx_trqcoord_tp","i_gear","p_fuel","t_air","t_coolant","s_track","idx_sec_dec","idx_sec_acc","lambda_tgt_b2","lambda_tgt_b1","p_atm","fuel_cons","engbr_adj","dtc_adj","ST_pitlim","ST_launch","ST_dtcoff","u_sys","idx_mode_veh","ST_td","ST_immob","ST_func","ST_ignition","Button DTC/EBR Minus","Button DTC/EBR Plus","Button Page","GPS Sats Used","GPS Altitude","GPS Latitude","GPS Longitude","GPS Heading","GPS Time","GPS Date","GPS Speed","GPS Quality","GPS HDOP","GPS DOP","GPS VDOP","GPS Valid","Sensor Zero Offset s_susp_fr","Sensor Zero Offset s_susp_rr","p_brake_fr","p_brake_rr","CAN 1 Receive Error Count","CAN 1 Transmit Error Count","CAN 2 Receive Error Count","CAN 2 Transmit Error Count","CAN 1 Bus Utilization","CAN 2 Bus Utilization","CPU Usage","Fuel Used","Fuel Usage","Fuel Used per Lap","Total Fuel Used","Max Straight Speed","Min Corner Speed","Button Suspension","RTC UTC Time","flex3_byte7","flex3_byte6","flex3_byte5","flex3_byte4","flex3_byte3","flex3_byte2","flex3_byte1","flex3_byte0","flex2_byte7","flex2_byte6","flex2_byte5","flex2_byte4","flex2_byte3","flex2_byte2","flex2_byte1","flex2_byte0","flex1_byte7","flex1_byte6","flex1_byte5","flex1_byte4","flex1_byte3","flex1_byte2","flex1_byte1","flex1_byte0","flex0_byte7","flex0_byte6","flex0_byte5","flex0_byte4","flex0_byte3","flex0_byte2","flex0_byte1","flex0_byte0","Lap Distance","Lap Time","Lap Gain/Loss Running","Lap Number","Running Lap Time","Lap Gain/Loss Final","Lap Time Predicted","Reference Lap Time","Fastest Lap Time","CAN_SWCL_LH_DIAG","G Force Lat","G Force Long","Log Data Available","Log Time Remaining","USB Drive Status","Fuel Remaining","Comms RS232 Diag","Trip Distance","Ground Speed","5V Aux Supply","8V Aux Supply","Odometer","CAN_CLAMP_STAT_DIAG","G Force Vert","Alarm Engine Temp","Alarm Safetysystem","Alarm DTC","Alarm Quickshifter","Alarm Oil Pressure","Button Function","Button Diag 1","Button Diag 2","Dash Temp","Show Vehicle Speed","Display Page","Device Session Time","Alarm Fall","SLM Active Pattern","r_tire_fr","r_tire_rr","idx_trqmap","Button Mode","slip_tgt_offs","load_b1","load_b2","ST_killswitch","slip_clutch","E_vrear","E_vfront","E_trumpet","E_thre","E_thr","E_tair","E_start","E_shift","E_pump","E_pfuel","E_safetysys","E_lambda1","E_injup","E_injdn","E_imu","E_ign","E_grip","E_fall","E_exhaust","E_dtc","E_drum","E_crank","E_cool","E_cams","E_cam","Warning Light","Log Memory Busy","Log Unloading","Logging Running","E_oil","E_Button DTC/EBR Plus","E_Button DTC/EBR Minus","E_Button Page","E_Button Suspension","E_Button Function","E_voltage","E_pbrake_fr","E_pbrake_rr","E_buttons","E_susp_fr","E_susp_rr","E_lambda2"
"s","","V","mm","mm","%","%","%","rpm","km/h","km/h","km/h","rpm","","V","V","deg","N","N","N","N","%","%","%","%","%","%","%","%","LA","LA","LA","LA","%","%","%","%","deg","deg","deg","G","","","","bar","C","C","m","","","LA","LA","mbar","ml","","","","","","V","","","","","","","","","","m","deg","deg","deg","","","km/h","","","","","","","","bar","bar","","","","","%","%","%","l","ml/s","l","l","km/h","km/h","","s","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","m","s","s","","s","s","s","s","s","","G","G","","s","","l","","km","km/h","V","V","km","","G","","","","","","","","","C","","","s","","","m","m","","","%","%","%","","%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""


"0.000","3","14.29","24.62","75.00","9.84","14.01","8.09","7825","104.0","100.2","103.2","8072","0","1.253","2.504","201.0","-626.5","0.0","-626.5","-24.4","0.00","7.80","-3.24","-3.25","100.00","99.99","64.43","100.00","1.000","1.000","4.103","3.996","-1.95","91.46","91.34","91.34","-52.2","0.00","0.00","-0.099","0","0","8.561","5.377","26.5","99.6","-10151","13","14","0.890","0.890","937.7","21.955","0","0","0","0","0","14.370","2","4","1","2","1","0","0","0","13","703.4","47.2244410","14.7590148","230.20","130311.200","40922","103.1","1","0.00","0.00","0.00","65","-257","-856","0.14","0.00","0","0","0","0","0.2","47.4","31.9","2.58","4.80","0.77","496.81","267.6","73.2","0","1662296590","96","48","163","163","255","255","1","1","0","0","0","0","0","0","0","0","5","192","26","152","68","85","0","0","0","0","0","0","1","1","252","189","2432","99.79","-3.68","2","58.26","-46.71","96.11","99.79","9.40","0","-0.11","-0.37","1","0","3","14.0","0","14.9","104.7","4.981","8.068","3017.6","0","0.19","0","0","0","0","0","0","0","0","32.5","1","0","417","0","0","0.2829","0.2924","6","0","0.00","7.92","4.52","0","-0.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0.002","3","14.29","24.44","75.12","9.85","14.21","8.42","7838","103.9","100.3","103.2","8069","0","1.253","2.504","201.1","-626.7","0.0","-626.7","-22.9","0.00","7.80","-3.24","-3.24","100.00","99.99","64.42","100.00","1.000","1.000","4.128","3.996","-1.69","91.51","91.41","91.41","-52.2","0.00","0.00","-0.096","0","0","8.561","5.377","26.5","99.6","-10151","13","14","0.890","0.890","937.7","21.955","0","0","0","0","0","14.364","2","4","1","2","1","0","0","0","13","703.4","47.2244403","14.7590137","230.11","130311.200","40922","103.0","1","0.00","0.00","0.00","65","-257","-856","0.14","0.00","0","0","0","0","0.2","47.4","31.9","2.58","4.80","0.77","496.81","267.6","73.2","0","1662296590","96","48","163","163","255","255","1","1","0","0","0","0","0","0","0","0","5","192","26","152","68","85","0","0","0","0","0","0","1","1","252","189","2433","99.79","-3.68","2","58.26","-46.71","96.11","99.79","9.40","0","-0.11","-0.39","1","0","3","14.0","0","14.9","104.6","4.981","8.068","3017.6","0","0.20","0","0","0","0","0","0","0","0","32.5","1","0","417","0","0","0.2829","0.2924","6","0","0.00","8.09","4.58","0","-0.88","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0.004","3","14.29","24.34","75.20","9.86","14.41","8.76","7852","103.9","100.5","103.3","8065","0","1.253","2.504","201.1","-626.9","0.0","-626.9","-21.4","0.00","7.80","-3.24","-3.23","100.00","99.99","64.42","100.00","1.000","1.000","4.152","3.996","-1.42","91.57","91.47","91.47","-52.2","0.00","0.00","-0.094","0","0","8.561","5.377","26.5","99.6","-10151","13","14","0.890","0.890","937.7","21.955","0","0","0","0","0","14.359","2","4","1","2","1","0","0","0","13","703.4","47.2244397","14.7590125","230.02","130311.200","40922","103.0","1","0.00","0.00","0.00","65","-257","-856","0.14","0.00","0","0","0","0","0.2","47.4","31.9","2.58","4.80","0.77","496.81","267.6","73.2","0","1662296590","96","48","163","163","255","255","1","1","0","0","0","0","0","0","0","0","5","192","26","152","68","85","0","0","0","0","0","0","1","1","252","189","2433","99.79","-3.68","2","58.26","-46.71","96.11","99.79","9.40","0","-0.10","-0.40","1","0","3","14.0","0","14.9","104.6","4.981","8.068","3017.6","0","0.20","0","0","0","0","0","0","0","0","32.5","1","0","417","0","0","0.2829","0.2924","6","0","0.00","8.26","4.64","0","-1.32","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0.006","3","14.29","24.14","75.12","9.87","14.61","9.09","7865","103.8","100.6","103.3","8062","0","1.253","2.504","201.2","-627.1","0.0","-627.1","-19.8","0.00","7.80","-3.24","-3.22","100.00","99.99","64.41","100.00","1.000","1.000","4.177","3.996","-1.16","91.62","91.54","91.54","-52.2","0.00","0.00","-0.091","0","0","8.561","5.377","26.5","99.6","-10151","13","14","0.890","0.890","937.7","21.955","0","0","0","0","0","14.353","2","4","1","2","1","0","0","0","13","703.4","47.2244390","14.7590114","229.92","130311.200","40922","103.0","1","0.00","0.00","0.00","65","-257","-856","0.14","0.00","0","0","0","0","0.2","47.4","31.9","2.58","4.80","0.77","496.81","267.6","73.2","0","1662296590","96","48","163","163","255","255","1","1","0","0","0","0","0","0","0","0","5","192","26","152","68","85","0","0","0","0","0","0","1","1","252","189","2433","99.79","-3.68","2","58.26","-46.71","96.11","99.79","9.40","0","-0.09","-0.42","1","0","3","14.0","0","14.9","104.6","4.981","8.068","3017.6","0","0.21","0","0","0","0","0","0","0","0","32.5","1","0","417","0","0","0.2829","0.2924","6","0","0.00","8.44","4.71","0","-1.76","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0.008","3","14.29","24.00","74.80","9.88","14.81","9.42","7878","103.8","100.7","103.4","8058","0","1.253","2.504","201.2","-627.3","0.0","-627.3","-18.3","0.00","7.80","-3.24","-3.21","100.00","99.99","64.41","100.00","1.000","1.000","4.201","3.996","-0.90","91.68","91.61","91.61","-52.2","0.00","0.00","-0.089","0","0","8.561","5.377","26.5","99.6","-10151","13","14","0.890","0.890","937.7","21.955","0","0","0","0","0","14.347","2","4","1","2","1","0","0","0","13","703.4","47.2244383","14.7590103","229.83","130311.200","40922","102.9","1","0.00","0.00","0.00","65","-257","-856","0.15","0.00","0","0","0","0","0.2","47.4","31.9","2.58","4.80","0.77","496.81","267.6","73.2","0","1662296590","96","124","35","35","255","255","1","1","0","0","0","0","0","0","0","0","4","254","27","126","68","185","0","0","0","0","0","0","1","1","254","216","2433","99.79","-3.68","2","58.26","-46.71","96.11","99.79","9.40","0","-0.08","-0.43","1","0","3","14.0","0","14.9","104.6","4.981","8.068","3017.6","0","0.21","0","0","0","0","0","0","0","0","32.5","1","0","417","0","0","0.2829","0.2924","6","0","0.00","8.61","4.77","0","-2.20","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0.010","3","14.29","23.70","74.27","9.69","15.06","10.17","7880","103.8","100.9","103.5","8056","0","1.253","2.504","201.2","-627.4","0.0","-627.4","-16.9","0.00","7.80","-3.23","-3.18","100.00","99.99","64.41","100.00","1.000","1.000","4.215","4.010","-0.30","91.74","91.63","91.63","-52.2","0.00","0.00","-0.114","0","0","8.561","5.377","26.5","99.6","-10151","13","14","0.890","0.890","937.7","21.955","0","0","0","0","0","14.342","2","4","1","2","1","0","0","0","13","703.4","47.2244377","14.7590091","229.74","130311.200","40922","102.9","1","0.00","0.00","0.00","65","-257","-856","0.15","0.00","0","0","0","0","0.2","47.4","31.9","2.58","4.80","0.77","496.81","267.6","73.2","0","1662296590","96","124","35","35","255","255","1","1","0","0","0","0","0","0","0","0","4","254","27","126","68","185","0","0","0","0","0","0","1","1","254","216","2433","99.79","-3.68","2","58.26","-46.71","96.11","99.79","9.40","0","-0.08","-0.44","1","0","3","14.0","0","14.9","104.5","4.981","8.068","3017.6","0","0.21","0","0","0","0","0","0","0","0","32.5","1","0","417","0","0","0.2829","0.2924","6","0","0.00","8.78","4.83","0","-1.82","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"0.012","3","14.29","23.56","73.79","9.50","15.30","10.92","7883","103.8","101.0","103.5","8053","0","1.253","2.504","201.2","-627.5","0.0","-627.5","-15.5","0.00","7.79","-3.23","-3.15","100.00","99.99","64.40","100.00","1.000","1.000","4.229","4.024","0.30","91.81","91.65","91.65","-52.2","0.00","0.00","-0.138","0","0","8.561","5.377","26.5","99.6","-10151","13","14","0.890","0.890","937.7","21.955","0","0","0","0","0","14.336","2","4","1","2","1","0","0","0","13","703.4","47.2244370","14.7590080","229.65","130311.200","40922","102.9","1","0.00","0.00","0.00","65","-257","-856","0.15","0.00","0","0","0","0","0.2","47.4","31.9","2.58","4.80","0.77","496.81","267.6","73.2","0","1662296590","96","124","35","35","255","255","1","1","0","0","0","0","0","0","0","0","4","254","27","126","68","185","0","0","0","0","0","0","1","1","254","216","2433","99.79","-3.68","2","58.26","-46.71","96.11","99.79","9.40","0","-0.07","-0.46","1","0","3","14.0","0","14.9","104.5","4.981","8.068","3017.6","0","0.22","0","0","0","0","0","0","0","0","32.5","1","0","417","0","0","0.2829","0.2924","6","0","0.00","8.96","4.90","0","-1.44","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
